Segment,Segment Name,Time Period,date_end,Date End,FY,Date Month,Avg Paid Invoice Amt,Avg SR Amt,Avg. Intuit Paid Inv Amt,Avg. Intut Paid SR Amt,Eco Invoice Actives 31D,Intuit Paid Inv per Active,Intuit Paid SR per Active,cc_actives_31d,active_cohorted_churn,passive_cohorted_churn,hvc_cohorted_churn,non_hvc_cohorted_churn,active_cohorted_churn_py,passive_cohorted_churn_py,hvc_cohorted_churn_py,non_hvc_cohorted_churn_py,qbo_active_cohorted_churn,qbo_active_cohorted_churn_py,pymt_active_cohorted_churn,pymt_active_cohorted_churn_py,Eco TPV 31d Absolute,CC TPV 31d Absolute,ACH TPV 31d Absolute,Eco Actives 31d Absolute,Eco Txns 31d Absolute,CC Txns 31d Absolute,ACH Txns 31d Absolute,Eco Invoice Amount 31d Absolute,Eco Sales Receipt Amount 31d Absolute,Eco Recurring Invoice Amount 31d Absolute,Eco CP Recurring Invoice Amount 31d Absolute,Eco Non-Recurring Invoice Amount 31d Absolute,Eco CP Amount 31d Absolute,Eco Non-CP Amount 31d Absolute,Eco Invoice Txns 31d Absolute,Eco Sales Receipt Txns 31d Absolute,Eco Recurring Invoice Txns 31d Absolute,Eco CP Recurring Invoice Txns 31d Absolute,Eco Non-Recurring Invoice Txns 31d Absolute,Eco CP Txns 31d Absolute,Eco Non-CP Txns 31d Absolute,31d Active Repeat Absolute,31d Active Lapse Absolute,31d Active Resurrect Absolute,31d Active GNA Absolute,31d Repeat CV Absolute,31d Lapse CV Absolute,31d Resurrect CV Absolute,31d GNA CV Absolute,31d Repeat Txn Absolute,31d Lapse Txn Absolute,31d Resurrect Txn Absolute,31d GNA Txn Absolute
All Segments,Aggregate,Week,2023-08-05,2023-08-05,FY24,8,1445.469333,334.951173,1162.201508,363.4458187,628405,14.55445875,3.562803117,417226,1,1,1,1,null,null,null,null,1,null,1,null,11197079776,5166480946,4365307155,423366,11222955,5617863,1594420,6570710460,810862139.9,374580806.7,306023578.2,9733937417,7791028308,2431865093,6185271,1586347,709323,413439,7637784,5666368,3547778,317134,0,56628,17370,7495315029,77,326461093,137822832,7362129,68,120148,68222
Other Mixed,Managed Pay Subscribers,Week,2023-08-19,2023-08-19,FY24,8,1660.490261,334.896843,1186.850245,377.5796965,622993,14.53437861,3.598496151,397084,1,1,1,1,null,null,null,null,1,null,1,null,11161710973,5274879516,4481722999,426927,10833629,5440449,1546782,6529749699,812802794.4,359456585.4,295494490.8,9465171826,7732021167,2326189675,6310230,1602961,687340,397370,7419867,5513661,3595480,319503,0,57181,16788,7471571743,99,313034245,134017471,7310120,69,121343,63318
Other Mixed,Managed Pay Subscribers,Month,2023-08-31,2023-08-31,FY24,8,1552.610758,346.833634,1195.472267,369.1192861,622010,15.03925431,3.562082085,409714,1,1,1,1,null,null,null,null,1,null,1,null,11591105426,5186763732,4583541891,430020,11211878,5617431,1574046,6561482089,835983700.3,354320485.5,294801589.7,10389656356,8144321409,2457598463,6401557,1595342,670502,398523,7772396,5493568,3531662,331456,0,63675,18261,7399824521,81,359382078,151524642,7294306,65,134519,67457
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2023-09-02,2023-09-02,FY24,9,1551.523486,301.405074,1295.405149,455.7999626,63837,19.34627811,3.660472179,41001,1,1,1,1,null,null,null,null,1,null,1,null,1581821521,757336661.8,577505760.4,42008,1390966,566208,289974,912024656.3,105251223.8,59991571.25,50545679.7,1383957774,1138619437,308237202.9,795147,167695,102637,59325,997751,714781,382839,36038,0,2067,618,1103071838,2,18349370,9409614,939955,2,7018,3960
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-09-02,2023-09-02,FY24,9,2561.931967,553.936703,2135.961794,608.0205836,54414,20.74926201,4.329080801,34040,1,1,1,1,null,null,null,null,1,null,1,null,2521579478,242239241,1643278738,37938,1309923,192291,539432,1408996449,136882560,71882915.03,59288581.57,2161143053,1805872583,352603576.2,761449,160577,101915,55745,888112,707719,350521,31886,0,1682,429,1624736175,0,25389510,9545887,864873,0,6187,3038
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2023-09-02,2023-09-02,FY24,9,741.3480136,238.652387,626.6833783,306.2934009,96775,39.56681334,6.751113689,59649,1,1,1,1,null,null,null,null,1,null,1,null,2487845304,2046998217,211660016.3,62073,4160841,2559375,228604,1420336298,191799414.1,90069683.83,68906259.78,2072672761,1578234169,742262857.4,2509010,462601,310217,192253,2923892,2171112,1253518,55509,0,1483,640,1710772980,0,15929857,13997569,2862234,0,12385,11639
CC 100%,Bank Transfer & Card Distribution,Week,2023-09-02,2023-09-02,FY24,9,1155.363665,234.990116,899.1977974,297.2406865,289230,7.900252444,3.427044702,192281,1,1,1,1,null,null,null,null,1,null,1,null,2161163459,2092730193,0,197637,2925774,2018983,0,1145546321,292715748.1,29937965.19,20922059.56,1809362027,1217199380,839160488.3,1480535,730762,60312,34434,1894987,1190770,1337466,136421,0,37121,12192,1301680537,68,128947091,66213530,1987911,48,69949,38099
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2023-09-02,2023-09-02,FY24,9,3784.793664,695.214423,3042.812501,950.788123,128954,6.522545787,0.7838854498,84107,1,1,1,1,null,null,null,null,1,null,1,null,2570334170,0,1906981784,87443,870080,0,494524,1552429616,96483205.86,96229148.21,88039201.25,2256811979,2060231910,179081978.7,554317,72565,80254,50798,675578,576842,146193,64327,0,15604,3449,1574452528,5,129712581,43388754,577360,5,26398,7494
Unclassified,Bank Transfer & Card Distribution,Week,2023-09-02,2023-09-02,FY24,9,2216.983774,385.669484,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100% Mobile TPV,Digital Platform Distribution,Week,2023-09-09,2023-09-09,FY24,9,1002.149161,333.275051,805.0901521,null,64314,8.080478997,0,39230,1,1,1,1,null,null,null,null,1,null,1,null,406770979.1,257119446.4,113007767.5,40926,501192,279130,49689,254863177.2,0,20745.83,3567.49,409900725.1,327314826,37211196.9,358185,0,7,5,491826,368224,50006,30750,0,7026,1936,257026842,0,24513443,8622340,332883,0,11022,4523
